ID,Name,Website,Description
1,Elements of Statistical Learning,https://web.stanford.edu/~hastie/ElemStatLearn/,Classic book on machine learning statistics.
2,Python Data Science Handbook,https://jakevdp.github.io/PythonDataScienceHandbook/,Jupyter notebooks introducing principles of data science in Python
3,Machine-Learning,https://www.coursera.org/learn/machine-learning,Introduction to Machine Learning Coursera class
4,Data Science Specialization,https://www.coursera.org/specializations/jhu-data-science,A series of courses specializing in data science from John's Hopkins Applied Statistics Department.
5,Principles of fMRI,https://www.coursera.org/learn/functional-mri,Coursera class on functional magnetic resonance imaging data analysis.
